"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00000132253",5,13,13,10,14,22
"ENSMUSG00000132279",0,0,0,0,0,0
"ENSMUSG00000132283",4,1,7,2,2,3
"ENSMUSG00000132285",0,0,0,0,0,2
"ENSMUSG00000132291",0,0,0,0,0,0
"ENSMUSG00000132297",0,0,0,0,0,0
"ENSMUSG00000105168",3,3,15,2,1,6
"ENSMUSG00000132314",0,0,0,0,1,3
"ENSMUSG00000132319",0,0,0,0,0,1
"ENSMUSG00000132323",1,2,5,2,0,0
"ENSMUSG00000093507",6,5,13,10,7,26
"ENSMUSG00000132353",0,0,0,0,0,3
"ENSMUSG00000132387",4,1,0,0,0,0
"ENSMUSG00000106000",0,0,0,0,0,0
"ENSMUSG00000132476",0,0,0,0,0,2
"ENSMUSG00000085250",3,2,17,7,5,5
"ENSMUSG00000132489",2,2,0,2,1,2
"ENSMUSG00000132497",0,0,0,0,0,0
"ENSMUSG00000106632",11,11,20,25,22,58
"ENSMUSG00000121295",0,0,0,0,1,2
"ENSMUSG00000132531",0,0,0,0,0,0
"ENSMUSG00000106519",89,69,182,161,153,322
"ENSMUSG00000132548",0,0,0,0,0,0
"ENSMUSG00000132560",0,0,0,1,0,0
"ENSMUSG00000132586",33,26,50,62,72,79
"ENSMUSG00000132706",0,0,0,0,0,0
"ENSMUSG00000132708",0,0,0,0,0,0
"ENSMUSG00000109716",0,0,0,0,0,0
"ENSMUSG00000097584",2,1,2,1,4,8
"ENSMUSG00000132779",1,0,6,1,0,3
"ENSMUSG00000086181",0,0,0,0,0,0
"ENSMUSG00000132822",0,0,0,0,0,0
"ENSMUSG00000132834",0,0,0,0,0,0
"ENSMUSG00000086224",0,0,0,0,1,0
"ENSMUSG00000132850",0,0,0,0,0,0
"ENSMUSG00000132864",1,0,13,0,0,2
"ENSMUSG00000132869",0,0,0,0,0,0
"ENSMUSG00000120375",0,0,0,0,0,0
"ENSMUSG00000105197",0,0,0,0,0,0
"ENSMUSG00000132908",1,2,16,3,1,1
"ENSMUSG00000132925",0,0,0,0,0,3
"ENSMUSG00000132943",0,0,0,0,0,0
"ENSMUSG00000132952",3,2,1,3,0,5
"ENSMUSG00000132959",2,0,0,1,3,1
"ENSMUSG00000132988",0,0,0,0,0,0
"ENSMUSG00000133005",2,2,11,4,8,12
"ENSMUSG00000133006",0,0,0,2,0,0
"ENSMUSG00000099640",0,0,0,0,0,0
"ENSMUSG00000133051",0,0,0,0,0,0
"ENSMUSG00000133075",0,0,0,0,0,0
"ENSMUSG00000102636",0,0,0,0,0,0
"ENSMUSG00000133169",1,0,0,1,0,0
"ENSMUSG00000133211",0,0,0,0,0,0
"ENSMUSG00000133241",0,0,0,0,0,0
"ENSMUSG00000133256",0,0,0,0,0,0
"ENSMUSG00000133295",0,0,0,0,0,0
"ENSMUSG00000133298",0,0,0,0,0,0
"ENSMUSG00000133300",0,0,0,0,0,0
"ENSMUSG00000133311",0,0,0,3,2,1
"ENSMUSG00000133314",1,1,0,0,1,0
"ENSMUSG00000105923",0,0,0,0,0,0
"ENSMUSG00000103668",5,2,11,2,2,5
"ENSMUSG00000133341",0,1,0,0,0,0
"ENSMUSG00000133354",0,0,0,0,0,0
"ENSMUSG00000133361",0,0,0,0,0,0
"ENSMUSG00000133395",0,0,0,0,0,0
"ENSMUSG00000133396",0,0,0,0,0,0
"ENSMUSG00000133428",0,0,0,0,3,1
"ENSMUSG00000133442",0,0,1,0,0,0
"ENSMUSG00000133446",0,0,0,0,0,0
"ENSMUSG00000133450",0,0,0,1,0,0
"ENSMUSG00000133495",3,7,6,3,7,1
"ENSMUSG00000097852",8,6,7,5,6,14
"ENSMUSG00000133515",0,0,0,0,0,0
"ENSMUSG00000133526",1,1,0,0,0,0
"ENSMUSG00000133529",0,0,0,0,0,0
"ENSMUSG00000133534",1,0,9,0,4,2
"ENSMUSG00000133543",0,0,9,0,0,0
"ENSMUSG00000133571",0,0,0,0,0,0
"ENSMUSG00000120150",1,3,4,2,4,9
"ENSMUSG00000133627",0,0,0,1,1,0
"ENSMUSG00000133641",4,11,21,16,8,16
"ENSMUSG00000133655",0,0,0,0,0,0
"ENSMUSG00000133676",0,0,0,0,0,0
"ENSMUSG00000103181",0,0,0,0,0,0
"ENSMUSG00000133681",0,1,0,1,2,0
"ENSMUSG00000105219",0,0,0,0,0,0
"ENSMUSG00000133697",0,0,0,0,0,0
"ENSMUSG00000133708",0,0,0,0,0,0
"ENSMUSG00000103929",0,0,0,0,0,0
"ENSMUSG00000133736",0,0,0,0,0,0
"ENSMUSG00000133759",0,0,0,2,0,0
"ENSMUSG00000133803",5,14,25,15,12,46
"ENSMUSG00000133835",0,0,0,0,0,0
"ENSMUSG00000133882",0,0,0,0,0,0
"ENSMUSG00000133894",0,0,0,0,0,2
"ENSMUSG00000133910",0,0,0,0,0,0
"ENSMUSG00000133911",0,0,0,0,0,0
"ENSMUSG00000104554",3,1,13,8,13,15
"ENSMUSG00000133915",0,0,0,0,0,0
"ENSMUSG00000133919",0,0,0,0,0,0
"ENSMUSG00000103349",0,0,0,0,0,0
"ENSMUSG00000133954",0,0,0,0,0,0
"ENSMUSG00000133960",0,0,0,0,0,0
"ENSMUSG00000133964",0,0,0,0,0,0
"ENSMUSG00000134000",0,0,1,1,1,0
"ENSMUSG00000097167",28,29,72,38,40,90
"ENSMUSG00000134066",0,0,0,0,0,0
"ENSMUSG00000106245",0,0,0,0,0,0
"ENSMUSG00000134085",0,0,1,0,0,0
"ENSMUSG00000134100",0,0,0,1,1,0
"ENSMUSG00000134113",1,2,0,0,0,0
"ENSMUSG00000120088",2,1,0,1,2,2
"ENSMUSG00000134137",1,0,0,1,0,0
"ENSMUSG00000104763",0,2,0,0,1,0
"ENSMUSG00000120722",1,1,0,1,2,2
"ENSMUSG00000134182",0,0,0,0,0,0
"ENSMUSG00000134187",0,0,0,0,0,0
"ENSMUSG00000134197",0,0,0,0,0,0
"ENSMUSG00000105139",3,3,0,0,0,4
"ENSMUSG00000134198",0,0,0,0,0,0
"ENSMUSG00000134204",3,6,18,2,0,4
"ENSMUSG00000134213",0,0,0,0,0,0
"ENSMUSG00000134232",0,0,0,0,0,0
"ENSMUSG00000134256",2,0,0,1,4,0
"ENSMUSG00000134269",0,0,0,0,0,0
"ENSMUSG00000134298",0,0,0,0,0,0
"ENSMUSG00000134307",0,1,0,0,1,0
"ENSMUSG00000105891",1,0,0,3,2,3
"ENSMUSG00000134316",0,0,0,0,0,0
"ENSMUSG00000134324",0,1,0,1,0,2
"ENSMUSG00000134335",0,0,0,0,0,0
"ENSMUSG00000134343",0,0,0,0,1,0
"ENSMUSG00000105151",1,0,0,1,0,1
"ENSMUSG00000134375",0,0,0,0,0,0
"ENSMUSG00000134415",1,1,3,5,2,4
"ENSMUSG00000134450",0,0,0,0,0,0
"ENSMUSG00000134454",0,0,0,0,0,0
"ENSMUSG00000134483",0,0,0,0,0,0
"ENSMUSG00000134512",0,0,0,0,0,0
"ENSMUSG00000134524",0,0,0,0,0,0
"ENSMUSG00000134543",0,0,0,0,0,0
"ENSMUSG00000134556",0,0,0,0,0,0
"ENSMUSG00000134563",0,0,0,0,0,0
"ENSMUSG00000134596",0,0,0,0,0,0
"ENSMUSG00000104000",0,0,0,0,0,0
"ENSMUSG00000120917",0,0,6,4,0,0
"ENSMUSG00000134601",0,0,0,0,0,0
"ENSMUSG00000134612",0,0,0,0,0,0
"ENSMUSG00000134638",1,0,0,0,0,0
"ENSMUSG00000134640",0,0,0,0,2,0
"ENSMUSG00000134662",0,0,0,0,0,0
"ENSMUSG00000134696",0,0,6,0,0,0
"ENSMUSG00000134715",0,0,0,0,0,0
"ENSMUSG00000106069",0,0,0,0,0,0
"ENSMUSG00000134812",0,0,0,0,0,1
"ENSMUSG00000099370",2552,2570,6611,3162,2963,5516
"ENSMUSG00000134832",0,0,0,0,0,0
"ENSMUSG00000134838",0,0,0,0,0,0
"ENSMUSG00000106413",0,0,0,0,0,0
"ENSMUSG00000134848",0,0,0,0,0,0
"ENSMUSG00000105102",2,0,0,3,1,0
"ENSMUSG00000134888",0,0,0,0,0,0
"ENSMUSG00000134892",0,0,0,0,0,0
"ENSMUSG00000134893",0,0,0,0,0,0
"ENSMUSG00000134910",0,1,0,1,2,0
"ENSMUSG00000134914",0,0,0,0,0,0
"ENSMUSG00000134925",0,0,0,0,0,0
"ENSMUSG00000134928",0,1,0,0,0,0
"ENSMUSG00000134941",0,0,0,0,0,0
"ENSMUSG00000134942",31,22,77,28,23,90
"ENSMUSG00000106589",0,0,0,0,0,0
"ENSMUSG00000134974",0,0,0,0,0,1
"ENSMUSG00000134985",0,0,0,0,0,0
"ENSMUSG00000135000",0,0,0,0,0,0
"ENSMUSG00000135014",0,0,0,0,0,0
"ENSMUSG00000080727",69,61,94,83,72,108
"ENSMUSG00000135026",0,0,0,0,0,0
"ENSMUSG00000135052",0,0,0,0,0,0
"ENSMUSG00000135054",0,0,0,0,1,0
"ENSMUSG00000120720",4,3,17,5,5,7
"ENSMUSG00000103620",1,2,0,0,0,1
"ENSMUSG00000097204",11,18,13,17,11,16
"ENSMUSG00000135103",1,0,0,1,1,5
"ENSMUSG00000089635",0,0,0,0,0,0
"ENSMUSG00000135136",0,0,0,0,0,0
"ENSMUSG00000086556",0,1,2,1,0,5
"ENSMUSG00000135147",0,0,0,0,0,0
"ENSMUSG00000135184",0,2,0,2,1,2
"ENSMUSG00000135198",0,0,0,0,0,0
"ENSMUSG00000135219",0,0,2,0,0,0
"ENSMUSG00000135224",0,0,0,0,0,2
"ENSMUSG00000097189",6,4,4,9,10,17
"ENSMUSG00000135246",0,0,0,0,0,0
"ENSMUSG00000102574",0,0,0,0,0,2
"ENSMUSG00000106540",0,0,0,0,0,0
"ENSMUSG00000087223",0,0,0,0,0,0
"ENSMUSG00000135270",1,0,5,0,0,0
"ENSMUSG00000135287",0,0,0,0,0,0
"ENSMUSG00000135294",0,0,0,0,0,0
"ENSMUSG00000135309",0,0,0,0,0,0
"ENSMUSG00000119955",4,3,0,2,1,2
"ENSMUSG00000135318",0,0,0,0,0,0
"ENSMUSG00000089924",0,0,0,0,0,0
"ENSMUSG00000135327",0,0,0,0,0,0
"ENSMUSG00000102590",0,0,0,0,0,0
"ENSMUSG00000135340",0,0,0,0,0,0
"ENSMUSG00000135353",0,0,0,0,0,0
"ENSMUSG00000135357",0,0,0,0,0,0
"ENSMUSG00000135376",0,0,0,0,0,0
"ENSMUSG00000135390",0,0,0,0,0,0
"ENSMUSG00000121104",2,1,0,1,2,4
"ENSMUSG00000135432",0,0,0,0,0,0
"ENSMUSG00000093553",3,4,0,3,1,6
"ENSMUSG00000135455",2,0,0,0,1,0
"ENSMUSG00000135471",0,0,0,0,0,0
"ENSMUSG00000093577",3,0,0,1,2,1
"ENSMUSG00000135497",0,0,1,0,0,0
"ENSMUSG00000135508",0,0,0,0,0,0
"ENSMUSG00000135519",3,1,7,0,0,0
"ENSMUSG00000120160",1,1,9,3,3,4
"ENSMUSG00000135524",0,0,0,0,0,0
"ENSMUSG00000135541",0,0,0,0,0,0
"ENSMUSG00000135545",0,0,0,0,0,0
"ENSMUSG00000135563",0,0,0,0,0,2
"ENSMUSG00000120424",9,15,44,23,12,43
"ENSMUSG00000135581",0,0,0,0,0,0
"ENSMUSG00000135583",0,0,0,0,0,0
"ENSMUSG00000135597",3,1,0,2,0,0
"ENSMUSG00000135638",0,0,0,0,0,0
"ENSMUSG00000135642",0,0,0,0,0,0
"ENSMUSG00000105516",0,0,0,0,0,0
"ENSMUSG00000135735",0,0,0,1,0,0
"ENSMUSG00000135785",0,0,0,0,0,0
"ENSMUSG00000135811",1,0,0,1,0,1
"ENSMUSG00000135820",0,0,0,0,1,0
"ENSMUSG00000135831",0,0,0,2,1,0
"ENSMUSG00000135846",0,0,0,0,0,0
"ENSMUSG00000135875",0,0,0,0,0,0
"ENSMUSG00000135909",0,0,0,0,0,0
"ENSMUSG00000135949",0,1,0,0,0,3
"ENSMUSG00000135958",0,0,0,0,0,0
"ENSMUSG00000135959",0,0,0,0,0,0
"ENSMUSG00000135984",0,0,0,0,0,0
"ENSMUSG00000106249",0,0,0,0,0,0
"ENSMUSG00000135996",0,0,0,0,0,0
"ENSMUSG00000136006",0,0,0,0,0,0
"ENSMUSG00000136026",0,0,0,0,0,0
"ENSMUSG00000050936",1,3,18,1,3,5
"ENSMUSG00000136058",0,0,0,0,0,0
"ENSMUSG00000136067",0,0,0,2,1,5
"ENSMUSG00000136068",0,0,0,1,0,0
"ENSMUSG00000136070",0,2,0,0,0,0
"ENSMUSG00000136103",0,0,0,0,0,0
"ENSMUSG00000078604",5,2,4,8,4,7
"ENSMUSG00000097745",1,1,0,0,0,0
"ENSMUSG00000136279",0,0,0,0,1,0
"ENSMUSG00000136285",0,0,0,0,0,0
"ENSMUSG00000074664",0,0,0,0,0,0
"ENSMUSG00000106285",0,0,0,0,0,0
"ENSMUSG00000136362",0,0,0,0,0,0
"ENSMUSG00000136372",0,0,0,0,0,0
"ENSMUSG00000136379",0,0,0,0,1,0
"ENSMUSG00000136381",0,0,0,0,0,0
"ENSMUSG00000136419",0,0,0,0,0,0
"ENSMUSG00000136421",0,0,0,0,0,0
"ENSMUSG00000136440",0,0,0,0,0,0
"ENSMUSG00000136478",2,0,1,9,10,2
"ENSMUSG00000136487",0,0,0,0,0,0
"ENSMUSG00000136502",0,0,0,0,0,0
"ENSMUSG00000136540",0,0,0,0,0,0
"ENSMUSG00000106157",0,0,0,0,0,0
"ENSMUSG00000136562",0,0,0,1,0,0
"ENSMUSG00000136570",0,0,0,0,0,0
"ENSMUSG00000136574",1,2,1,1,0,6
"ENSMUSG00000136659",0,0,0,0,0,0
"ENSMUSG00000136661",0,0,0,0,0,0
"ENSMUSG00000136694",0,0,0,0,0,0
"ENSMUSG00000136696",0,0,0,0,0,0
"ENSMUSG00000136697",0,0,0,0,0,0
"ENSMUSG00000136718",1,0,0,0,0,0
"ENSMUSG00000136801",3,1,2,2,2,0
"ENSMUSG00000105092",0,0,0,0,0,0
"ENSMUSG00000136857",0,0,0,3,2,0
"ENSMUSG00000136870",0,0,0,0,0,0
"ENSMUSG00000136877",7,2,0,1,1,1
"ENSMUSG00000136904",0,0,0,0,0,0
"ENSMUSG00000136905",0,0,0,0,0,0
"ENSMUSG00000136913",3,3,20,4,4,10
"ENSMUSG00000136933",0,0,0,0,0,0
"ENSMUSG00000120969",3,2,8,3,3,5
"ENSMUSG00000136937",0,0,0,0,0,0
"ENSMUSG00000136945",0,0,0,0,1,2
"ENSMUSG00000089916",2,2,6,4,6,4
"ENSMUSG00000136983",0,0,0,0,0,0
"ENSMUSG00000137022",0,1,0,0,0,0
"ENSMUSG00000137026",5,2,6,5,6,6
"ENSMUSG00000137028",0,0,0,0,0,0
"ENSMUSG00000137045",4,5,16,20,8,22
"ENSMUSG00000137050",0,0,2,0,0,0
"ENSMUSG00000137078",0,0,0,0,0,0
"ENSMUSG00000137089",0,1,0,0,0,0
"ENSMUSG00000137122",0,0,0,0,0,0
"ENSMUSG00000137162",0,0,0,0,0,0
"ENSMUSG00000099995",0,0,0,0,0,0
"ENSMUSG00000120945",2,3,0,7,4,4
"ENSMUSG00000137193",0,0,0,0,0,0
"ENSMUSG00000137227",0,0,0,0,0,0
"ENSMUSG00000137229",0,0,0,0,0,0
"ENSMUSG00000137230",54,45,123,64,40,127
"ENSMUSG00000137265",0,0,0,0,0,0
"ENSMUSG00000137279",0,0,0,0,0,4
"ENSMUSG00000137290",0,0,0,0,0,0
"ENSMUSG00000137297",0,0,0,0,0,0
"ENSMUSG00000137364",0,0,0,0,0,0
"ENSMUSG00000137385",1,0,0,0,0,0
"ENSMUSG00000137391",16,14,26,13,9,28
"ENSMUSG00000085121",0,0,0,0,0,0
"ENSMUSG00000137408",0,0,0,0,0,0
"ENSMUSG00000137443",1,0,15,5,1,5
"ENSMUSG00000137456",3,2,3,34,18,43
"ENSMUSG00000137509",0,0,0,0,0,0
"ENSMUSG00000097339",0,0,0,0,0,0
"ENSMUSG00000137537",0,0,0,0,0,0
"ENSMUSG00000137571",0,0,0,0,0,0
"ENSMUSG00000106230",4,1,8,3,6,5
"ENSMUSG00000137661",0,0,0,0,0,0
"ENSMUSG00000137682",3,7,3,2,4,7
"ENSMUSG00000137746",4,1,12,6,10,7
"ENSMUSG00000137769",0,0,0,0,0,0
"ENSMUSG00000137771",1,0,0,0,0,0
"ENSMUSG00000137784",0,0,0,0,0,0
"ENSMUSG00000137800",0,0,0,0,1,0
"ENSMUSG00000121725",12,6,60,22,24,38
"ENSMUSG00000098097",11,12,30,8,8,17
"ENSMUSG00000120358",0,0,7,0,0,0
"ENSMUSG00000137834",4,3,0,2,2,2
"ENSMUSG00000137840",2,2,0,3,1,12
"ENSMUSG00000137860",0,2,0,0,0,0
"ENSMUSG00000120182",2,0,0,0,0,2
"ENSMUSG00000137871",0,1,0,2,2,1
"ENSMUSG00000137872",0,0,0,0,0,0
"ENSMUSG00000137876",0,0,0,0,2,4
"ENSMUSG00000137903",1,0,0,1,0,2
"ENSMUSG00000105811",0,0,0,0,0,0
"ENSMUSG00000137939",3,0,11,1,2,6
"ENSMUSG00000137941",0,0,0,0,0,0
"ENSMUSG00000137955",4,3,29,0,1,0
"ENSMUSG00000137968",0,0,0,0,0,0
"ENSMUSG00000137972",37,32,79,47,38,76
"ENSMUSG00000137974",4,9,19,6,6,8
"ENSMUSG00000137985",0,2,0,0,0,1
"ENSMUSG00000138009",0,0,0,0,0,0
"ENSMUSG00000138011",0,1,1,0,0,0
"ENSMUSG00000121716",0,0,0,0,0,1
"ENSMUSG00000138050",1,0,0,0,0,0
"ENSMUSG00000138096",0,0,0,0,1,1
"ENSMUSG00000120730",1,1,0,0,0,2
"ENSMUSG00000138101",1,0,0,1,1,14
"ENSMUSG00000054426",123,117,240,189,183,198
"ENSMUSG00000138141",0,0,0,0,0,0
"ENSMUSG00000102203",0,0,0,0,0,0
"ENSMUSG00000138218",0,0,0,0,0,0
"ENSMUSG00000103695",0,0,0,0,0,0
"ENSMUSG00000138280",0,0,0,0,1,0
"ENSMUSG00000097365",0,1,0,4,4,7
"ENSMUSG00000138297",6,4,22,4,3,4
"ENSMUSG00000138311",0,0,4,2,3,0
"ENSMUSG00000138315",0,0,0,0,0,0
"ENSMUSG00000138338",0,0,0,0,0,0
"ENSMUSG00000138346",6,2,57,11,13,1
"ENSMUSG00000138349",0,0,0,0,0,0
"ENSMUSG00000102215",0,1,6,0,2,0
"ENSMUSG00000104659",2,0,16,3,3,0
"ENSMUSG00000138358",2,1,0,5,2,2
"ENSMUSG00000138377",0,0,0,0,0,0
"ENSMUSG00000097032",19,15,21,14,7,16
"ENSMUSG00000120589",7,5,9,33,46,68
"ENSMUSG00000138449",0,0,0,1,0,0
"ENSMUSG00000106429",0,0,0,0,0,0
"ENSMUSG00000138484",0,0,0,0,0,0
"ENSMUSG00000097804",5,3,8,4,3,6
"ENSMUSG00000138505",0,0,0,0,0,0
"ENSMUSG00000086438",0,0,0,0,0,0
"ENSMUSG00000105975",0,0,0,0,0,0
"ENSMUSG00000091575",3,1,0,1,2,2
"ENSMUSG00000138557",0,1,0,0,0,0
"ENSMUSG00000138582",0,0,0,0,0,0
"ENSMUSG00000138610",0,0,0,0,0,0
"ENSMUSG00000138619",2,0,0,0,0,1
"ENSMUSG00000138622",0,0,0,0,0,0
"ENSMUSG00000138636",0,0,0,0,0,0
"ENSMUSG00000138647",0,1,3,1,0,0
"ENSMUSG00000138653",0,0,0,0,0,0
"ENSMUSG00000138668",0,0,0,0,0,0
"ENSMUSG00000138671",0,0,0,0,0,0
"ENSMUSG00000138682",0,0,0,0,0,0
"ENSMUSG00000102067",0,0,0,0,0,0
"ENSMUSG00000106108",2,0,1,4,6,11
"ENSMUSG00000138719",1,0,0,0,0,0
"ENSMUSG00000138722",0,2,2,1,0,0
"ENSMUSG00000138734",0,0,0,0,0,0
"ENSMUSG00000138757",0,0,0,0,0,0
"ENSMUSG00000138762",1,0,3,4,4,0
"ENSMUSG00000138775",0,0,0,0,0,0
"ENSMUSG00000105952",0,0,0,0,0,0
"ENSMUSG00000120422",6,4,13,3,0,8
"ENSMUSG00000096922",0,0,0,0,0,0
"ENSMUSG00000105085",5,6,12,6,4,2
"ENSMUSG00000138837",0,0,1,0,0,0
"ENSMUSG00000044522",1,1,3,1,0,0
"ENSMUSG00000138855",4,6,47,10,6,11
"ENSMUSG00000138873",1,0,0,0,1,5
"ENSMUSG00000138891",0,0,0,0,0,0
"ENSMUSG00000138892",0,0,0,0,0,0
"ENSMUSG00000120153",2,2,0,0,0,0
"ENSMUSG00000138931",0,0,0,0,0,0
"ENSMUSG00000138964",0,0,0,0,0,0
"ENSMUSG00000139012",0,0,0,0,0,0
"ENSMUSG00000139026",0,1,5,0,4,4
"ENSMUSG00000105816",1,1,0,1,2,3
"ENSMUSG00000139029",0,0,0,0,0,0
"ENSMUSG00000139033",1,1,0,7,4,0
"ENSMUSG00000139050",0,0,0,0,0,0
"ENSMUSG00000139065",0,0,0,3,1,0
"ENSMUSG00000139076",0,0,0,0,0,0
"ENSMUSG00000139160",1,1,0,2,0,4
"ENSMUSG00000104669",0,0,0,0,0,0
"ENSMUSG00000139201",0,2,0,0,1,0
"ENSMUSG00000120615",1,2,8,1,0,1
"ENSMUSG00000139207",41,36,82,82,87,162
"ENSMUSG00000074398",22,13,72,36,44,41
"ENSMUSG00000097786",1,0,0,0,0,0
"ENSMUSG00000139235",1,0,0,1,2,0
"ENSMUSG00000139242",0,0,0,1,0,0
"ENSMUSG00000097124",22,27,75,38,39,90
"ENSMUSG00000139263",0,0,0,0,0,0
"ENSMUSG00000139277",0,0,0,0,0,0
"ENSMUSG00000103334",0,0,2,0,0,0
"ENSMUSG00000139287",0,0,0,0,1,3
"ENSMUSG00000139288",0,0,0,0,0,0
"ENSMUSG00000139322",0,0,0,0,0,0
"ENSMUSG00000139325",29,28,107,55,44,98
"ENSMUSG00000085084",0,0,0,1,1,0
"ENSMUSG00000139354",0,0,0,0,0,0
"ENSMUSG00000139362",1,0,0,2,0,0
"ENSMUSG00000139365",0,0,0,0,0,0
"ENSMUSG00000139371",0,0,0,1,0,0
"ENSMUSG00000139385",0,0,0,0,0,0
"ENSMUSG00000139387",0,0,0,0,0,0
"ENSMUSG00000139394",1,1,0,0,0,0
"ENSMUSG00000139396",0,0,0,0,0,0
"ENSMUSG00000139408",4,3,4,11,12,37
"ENSMUSG00000120476",5,6,16,9,8,1
"ENSMUSG00000139417",0,0,0,0,0,0
"ENSMUSG00000139424",0,0,0,0,0,0
"ENSMUSG00000139426",8,8,0,18,30,41
"ENSMUSG00000139436",0,0,0,0,0,0
"ENSMUSG00000139445",0,0,0,0,0,1
"ENSMUSG00000139450",0,0,0,0,0,0
"ENSMUSG00000139451",0,0,0,0,3,0
"ENSMUSG00000139454",10,8,18,13,9,10
"ENSMUSG00000139460",0,0,0,0,0,0
"ENSMUSG00000139490",0,0,0,0,0,0
"ENSMUSG00000139494",3,4,11,4,3,1
"ENSMUSG00000139500",0,0,0,0,0,0
"ENSMUSG00000119974",0,0,0,0,0,0
"ENSMUSG00000105296",0,0,0,0,0,0
"ENSMUSG00000139561",0,0,0,0,0,0
"ENSMUSG00000100252",10,4,25,5,8,3
"ENSMUSG00000139591",0,0,0,0,0,0
"ENSMUSG00000139599",0,0,0,0,0,0
"ENSMUSG00000139615",0,0,0,0,0,0
"ENSMUSG00000104675",1,2,12,2,0,2
"ENSMUSG00000139647",0,0,0,1,0,0
"ENSMUSG00000139675",0,0,0,0,0,0
"ENSMUSG00000105057",0,0,0,0,3,8
"ENSMUSG00000139722",0,0,0,1,0,0
"ENSMUSG00000087660",3,7,22,8,11,15
"ENSMUSG00000139742",0,0,0,0,0,0
"ENSMUSG00000139768",0,0,0,0,0,0
"ENSMUSG00000085956",62,76,136,83,50,92
"ENSMUSG00000139782",0,0,0,0,0,0
"ENSMUSG00000139822",0,0,0,0,0,0
"ENSMUSG00000139860",0,0,0,0,0,0
"ENSMUSG00000139868",0,0,0,0,0,0
"ENSMUSG00000086273",1,0,1,0,0,0
"ENSMUSG00000139903",0,0,0,0,0,0
"ENSMUSG00000102595",2,4,14,3,0,2
"ENSMUSG00000139927",0,0,0,0,0,0
"ENSMUSG00000139973",3,2,2,9,9,20
"ENSMUSG00000104093",1,0,0,1,5,7
"ENSMUSG00000120291",0,0,22,1,3,0
"ENSMUSG00000140002",0,0,0,0,0,0
"ENSMUSG00000140007",0,0,0,0,0,5
"ENSMUSG00000090120",2,4,27,2,2,10
"ENSMUSG00000140027",1,1,6,1,1,4
"ENSMUSG00000104283",4,0,0,0,0,0
"ENSMUSG00000103408",0,1,0,1,1,1
"ENSMUSG00000140056",0,0,0,0,0,0
"ENSMUSG00000140059",0,0,0,1,0,0
"ENSMUSG00000140080",0,0,0,0,0,0
"ENSMUSG00000140082",1,0,0,0,0,1
"ENSMUSG00000140088",0,0,0,0,0,0
"ENSMUSG00000140112",0,0,0,0,0,0
"ENSMUSG00000121472",110,85,97,135,132,177
"ENSMUSG00000140153",0,0,0,0,0,0
"ENSMUSG00000140176",0,0,0,0,1,9
"ENSMUSG00000085702",0,1,1,3,1,2
"ENSMUSG00000140192",0,0,0,0,0,0
"ENSMUSG00000140213",1,1,0,5,1,0
"ENSMUSG00000105146",0,0,0,0,0,0
"ENSMUSG00000140245",0,0,0,0,0,0
"ENSMUSG00000140250",0,0,0,1,2,0
"ENSMUSG00000140267",0,0,0,0,0,0
"ENSMUSG00000140274",0,0,0,0,0,0
"ENSMUSG00000140288",0,0,0,0,0,0
"ENSMUSG00000120644",0,0,0,0,0,0
"ENSMUSG00000140319",2,0,0,1,1,3
"ENSMUSG00000140322",0,0,0,0,0,0
"ENSMUSG00000140354",0,0,0,0,0,0
"ENSMUSG00000140360",0,0,0,0,0,0
"ENSMUSG00000140393",0,0,0,0,0,0
"ENSMUSG00000084754",0,0,0,0,0,0
"ENSMUSG00000140401",0,0,0,0,1,0
"ENSMUSG00000140422",0,0,0,0,0,0
"ENSMUSG00000140423",2,1,0,0,1,0
"ENSMUSG00000140474",0,0,0,0,0,0
"ENSMUSG00000140476",0,0,0,0,0,0
"ENSMUSG00000140510",0,0,0,0,0,0
"ENSMUSG00000140513",0,0,0,0,0,4
"ENSMUSG00000105767",0,0,0,0,0,0
"ENSMUSG00000104102",0,0,0,0,0,0
"ENSMUSG00000140563",0,0,0,0,0,0
"ENSMUSG00000140580",0,0,0,0,0,0
"ENSMUSG00000140587",0,0,0,0,0,1
"ENSMUSG00000140594",1,0,0,0,0,0
"ENSMUSG00000140628",0,0,0,0,0,0
"ENSMUSG00000140654",0,0,0,0,0,0
"ENSMUSG00000140669",14,11,9,18,23,28
"ENSMUSG00000140679",0,0,0,0,0,0
"ENSMUSG00000140699",0,0,0,0,0,0
"ENSMUSG00000140711",0,0,0,0,1,0
"ENSMUSG00000120078",0,1,0,0,0,1
"ENSMUSG00000140744",0,0,0,0,0,0
"ENSMUSG00000140751",0,0,0,0,1,1
"ENSMUSG00000140757",0,0,0,0,1,0
"ENSMUSG00000140764",0,0,0,2,0,8
"ENSMUSG00000140769",0,0,0,0,0,0
"ENSMUSG00000140780",0,0,0,0,0,0
"ENSMUSG00000085754",0,0,1,2,0,0
"ENSMUSG00000140813",1,0,0,0,0,4
"ENSMUSG00000105784",1,1,0,0,0,0
"ENSMUSG00000103041",41,50,171,51,46,69
"ENSMUSG00000104835",3,1,9,3,1,0
"ENSMUSG00000140856",0,0,0,0,0,0
"ENSMUSG00000140863",0,0,0,1,0,1
