"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"ENSG00000229607",0,0,0,0,0,0,0,0,0,0
"SESN2",70,66,100,46,65,120,82,64,103,122
"SERINC2",18,16,28,52,18,16,6,2,4,24
"AJAP1",0,0,2,0,0,2,0,1,2,20
"PTAFR",0,0,0,0,2,0,6,0,4,8
"NKAIN1",0,0,0,0,0,0,0,4,7,3
"SNRNP40",460,620,412,386,241,254,415,362,533,1099
"SLC25A33",152,234,158,146,180,245,321,259,206,200
"ENSG00000270927",0,0,0,0,0,0,0,0,0,0
"GJB3",0,0,0,2,0,0,0,0,5,0
"LINC01756",0,0,0,0,0,0,0,0,4,2
"DNAJC16",340,715,552,661,431,342,89,230,224,126
"EYA3",188,134,279,316,287,58,289,603,189,218
"ZNF593",0,0,0,0,0,0,0,0,0,0
"FABP3",5,0,4,13,13,0,0,8,841,822
"EPHA2",0,0,0,0,0,0,6,1,10,0
"LINC02780",14,7,8,38,4,0,20,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0
"ARHGEF19",0,2,0,0,0,0,0,23,5,0
"KAZN-AS1",0,0,0,0,0,0,2,0,0,4
"ENSG00000270605",0,0,0,0,2,0,18,0,2,2
"KAZN",50,62,43,42,16,86,4,0,86,6
"ENSG00000235084",8,12,4,2,9,0,14,8,44,42
"LOC400748",0,0,0,0,0,0,0,0,0,0
"ENSG00000225478",6,0,2,6,0,5,0,0,0,0
"TNFRSF1B",2,0,12,8,8,16,0,0,0,0
"TMEM51-AS2",0,0,0,0,0,0,0,0,0,0
"ENSG00000233372",0,0,0,0,0,6,0,0,1,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0,0
"ENSG00000284543",0,0,0,0,24,38,47,64,8,14
"UBE4B",125,146,122,108,131,22,279,298,161,160
"TMEM51-AS1",0,5,3,9,0,2,0,6,6,2
"PLA2G5",0,0,0,0,0,0,0,0,2,1
"PTPRU",0,0,0,0,0,0,2,2,65,52
"ZMYM6",116,77,152,107,21,45,118,415,46,23
"ENSG00000232768",0,0,0,0,0,0,0,0,0,0
"FTLP18",38,19,16,0,8,0,6,0,0,0
"GJB5",0,0,0,0,0,0,0,0,3,0
"AGO4",0,26,0,12,2,1,2,62,20,28
"CDCA8",1234,2044,1486,2750,1189,2596,557,1096,260,375
"ENSG00000272420",0,0,0,0,0,0,0,0,0,4
"CPLANE2",0,0,6,0,0,2,0,0,2,0
"ZBTB8B",86,121,81,154,51,58,4,74,4,0
"ENSG00000272510",0,0,0,0,0,0,0,0,0,0
"LINC02810",0,0,0,0,0,0,0,0,0,0
"ENSG00000232273",0,0,0,0,0,0,0,5,2,0
"PAX7",0,0,0,0,0,2,6,12,0,2
"LOC124903825",0,0,0,0,20,0,2,9,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,4,0
"EXTL1",0,2,6,2,6,0,0,4,4,0
"CASZ1",0,0,0,0,1,86,16,0,2,0
"AGMAT",21,28,63,52,23,21,17,6,4,0
"ENSG00000237301",205,198,184,225,191,50,48,87,2,1
"DNALI1",0,0,0,0,2,1,0,2,2,32
"ENSG00000227527",4,0,0,0,0,0,0,4,0,0
"RRAGC",566,610,400,258,57,143,72,148,94,182
"ENSG00000228589",81,78,55,64,36,37,34,17,37,68
"GRIK3",0,3,0,2,0,0,1,0,5,0
"PLA2G2D",0,0,0,0,0,0,0,0,0,2
"YRDC",4,18,2,4,18,0,733,1468,203,187
"ENSG00000230163",0,0,0,0,0,0,0,0,0,0
"ENSG00000227538",5,0,1,0,0,0,0,0,0,2
"ENSG00000236500",0,0,0,0,2,0,0,0,2,0
"GUCA2B",0,0,0,0,0,0,0,0,0,0
"RCC2",141,345,286,335,216,78,97,207,289,401
"HSPA5P1",2,12,0,4,6,36,32,66,32,20
"LOC124904027",0,0,0,0,0,0,0,0,0,0
"ENSG00000237329",0,0,0,0,0,0,0,0,2,2
"ENSG00000236948",0,0,0,0,0,0,0,0,1,0
"PSMB2",2083,2300,2560,2328,1046,1062,3056,6493,3229,4535
"ENSG00000274944",0,0,0,0,0,0,0,0,0,0
"CASP9",64,114,56,112,38,0,6,0,4,94
"DDI2",153,284,246,166,81,235,112,273,184,173
"ENSG00000284748",0,0,0,0,0,0,0,3,2,0
"ENSG00000272078",0,0,0,0,0,20,0,2,0,0
"UQCRH",656,787,850,762,594,789,4138,7554,16095,14361
"MIR3659HG",0,0,0,0,0,0,0,0,1,0
"ENSG00000233728",0,0,0,0,0,0,0,0,0,0
"RPS29P6",0,0,0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,0,0,0,0,0,0,0,0
"ENSG00000215900",0,0,0,0,0,0,0,0,0,0
"ENSG00000284632",0,0,0,0,0,0,3,0,0,1
"ENSG00000241014",0,0,0,0,0,0,0,0,0,0
"THRAP3",142,530,285,332,103,385,277,761,1100,1155
"ENSG00000254553",0,1,0,8,1,0,0,1,0,0
"ENSG00000284653",0,0,0,4,0,0,0,0,0,0
"ENSG00000237749",54,32,40,66,52,82,134,180,92,50
"PADI6",742,1237,1220,1720,1028,1166,342,314,0,0
"ENSG00000284705",0,0,0,0,0,0,0,0,0,0
"ENSG00000228776",0,0,0,0,0,0,0,0,0,0
"PADI4",0,0,0,0,0,0,0,0,2,1
"C1orf122",6,12,6,15,19,0,57,103,122,148
"LINC01654",0,0,0,0,0,0,0,0,0,0
"EPHA10",0,10,2,12,8,4,0,46,7,0
"FHL3",0,0,14,12,4,0,0,0,68,50
"ENSG00000284743",0,0,0,0,0,0,0,0,0,0
"RHBDL2",16,8,10,73,12,0,20,32,0,0
"INPP5B",47,66,64,111,24,8,3,22,17,17
"CFAP144",0,0,0,2,0,0,6,17,0,0
"ZMYM4",391,589,470,654,457,1199,183,117,298,300
"UTP11",2415,3426,2324,3494,1712,1603,3109,4658,826,1100
"ENSG00000271741",0,0,0,0,0,0,0,0,0,0
"ENSG00000214141",0,0,0,0,0,0,0,0,2,0
"C1orf216",0,0,6,0,4,0,20,0,8,0
"ENSG00000224751",0,0,0,0,0,0,0,0,0,0
"ACTL8",4117,6329,6284,7552,3948,3310,1530,1626,0,2
"ENSG00000230585",0,0,11,21,0,0,0,0,0,0
"RLF",1170,2166,1384,2178,1173,2814,539,1586,327,416
"ENSG00000284989",0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0
"CLSPN",1188,1502,1512,2031,1487,1415,1060,1141,358,555
"ENSG00000255811",0,0,0,0,0,0,0,0,0,0
"GNL2",300,237,366,517,242,612,383,990,517,715
"GJA4",0,2,0,0,2,0,5,0,2,0
"TUBAP8",0,0,0,0,0,0,0,0,0,0
"ENSG00000225142",0,0,0,0,0,0,0,0,0,2
"ENSG00000230138",0,0,0,0,0,0,0,0,0,0
"ENSG00000223390",0,0,0,0,0,0,0,0,0,0
"LOC124904023",0,0,0,0,6,118,4,17,0,0
"ENSG00000225671",0,0,0,2,0,0,0,2,0,0
"MORN1",2,8,4,14,8,7,6,12,9,4
"ENSG00000226147",0,0,0,0,0,0,0,0,0,0
"TTC22",0,0,0,0,0,0,0,0,12,2
"RPL6P1",0,4,0,0,4,2,4,10,8,8
"TIE1",0,0,0,0,0,0,0,0,5,6
"MYCBP",767,882,701,504,279,147,216,538,445,410
"DLGAP3",0,0,0,0,0,25,0,0,9,2
"GOT2P1",2,0,0,0,0,0,0,0,0,0
"ENSG00000236723",0,0,0,0,0,0,0,0,0,0
"ENSG00000232467",0,0,2,0,0,0,2,0,0,0
"RIMS3",2,4,8,2,14,24,0,2,2,6
"ECHDC2",18,52,32,18,6,0,17,30,134,187
"RAB3B",0,0,0,0,0,0,0,0,536,747
"SMIM12",14,74,8,78,36,90,125,120,448,760
"ENSG00000225779",0,0,0,0,0,0,0,0,2,0
"LOC105378736",7,10,32,5,26,11,2,0,0,0
"ENSG00000237130",0,0,0,0,0,0,0,0,10,0
"TMEM61",12,36,12,26,1,1,2,36,1,0
"ENSG00000227416",0,0,0,0,0,0,0,1,0,0
"CLSPN-AS1",0,0,0,0,0,0,0,0,0,0
"ENSG00000260971",87,106,101,155,59,25,24,14,6,0
"ENSG00000259832",0,0,0,0,0,0,0,0,0,0
"LINC02808",0,0,0,6,4,0,0,0,1,0
"ENSG00000238242",0,0,0,0,0,0,0,3,0,0
"ENSG00000285839",0,0,0,0,0,0,0,0,0,0
"LINC01343",0,0,0,0,0,0,0,0,0,0
"ENSG00000232762",0,0,0,0,0,0,0,0,0,0
"ERI3",26,22,28,42,28,72,2,3,228,46
"CZIB",140,179,202,290,169,72,44,46,221,279
"FAM151A",0,0,0,0,4,0,67,95,357,162
"PODN",0,0,0,0,0,0,0,0,14,0
"OSBPL9",1330,1520,2076,1420,1632,1084,450,645,727,692
"ENSG00000228121",6,0,0,0,0,0,0,0,4,14
"C1orf210",303,312,319,158,128,74,32,12,12,0
"PARS2",128,136,120,108,66,50,18,0,2,60
"ZYG11A",150,139,205,187,141,1,70,23,232,93
"ENSG00000284686",0,0,2,6,3,0,27,24,3,2
"ZYG11B",0,38,10,0,4,10,42,30,140,130
"LINC01755",28,36,86,0,14,0,14,0,0,0
"CZIB-DT",2,12,0,24,0,0,12,6,4,4
"ST3GAL3-AS1",0,0,0,0,0,0,8,1,0,0
"L1TD1",10,28,34,48,34,22,464,284,3678,2277
"ENSG00000234318",0,1,0,0,0,0,0,0,0,0
"ENSG00000284773",0,0,0,0,0,0,0,0,2,0
"ENSG00000234481",0,0,0,0,2,0,0,0,0,0
"TXNDC12",9,16,22,18,13,27,3,33,181,199
"ENSG00000235612",3,9,0,0,0,0,0,0,0,0
"TXNDC12-AS1",0,0,0,0,0,0,0,0,0,0
"SF3A3",4903,9860,6306,11580,4745,9978,2366,5340,1141,1888
"ENSG00000227485",0,0,0,0,0,0,0,0,0,0
"HSD52",0,19,6,0,2,4,26,2,2,0
"DOCK7-DT",0,0,0,0,0,0,0,0,2,0
"ENSG00000236646",0,0,0,0,0,0,4,0,4,0
"MTCO2P34",0,0,0,0,0,0,0,0,1,0
"ENSG00000238063",0,0,0,0,0,0,0,0,1,1
"PIGQP1",0,0,0,0,0,0,0,0,0,0
"TTC4",5,19,9,7,2,26,5,8,0,11
"KLF17",0,0,0,4,92,108,1043,1913,34,54
"PLPP3",0,12,0,65,0,2,1,0,178,318
"ENSG00000285079",91,145,106,237,117,189,8,41,2,2
"RSPO1",0,0,0,0,0,0,0,0,0,0
"SNIP1",194,274,152,267,118,103,262,482,119,112
"RPS13P2",100,94,136,144,130,82,220,350,178,102
"ENSG00000224570",0,0,0,0,0,0,0,0,0,0
"RPL23AP85",0,0,0,0,0,0,0,0,2,0
"ENSG00000278967",0,0,0,0,0,0,0,0,0,0
"CPT2",6,8,23,15,10,34,0,12,8,12
"FOXJ3",850,1404,1297,1482,1015,688,374,1042,183,243
"TUT4",12,78,54,18,56,131,69,413,186,189
"GTF2F2P2",0,0,0,0,0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,0,0,0,0,0
"KLF18",0,0,0,21,198,353,106,12,2,0
"ENSG00000229032",0,0,0,0,0,0,0,0,2,0
"ENSG00000229294",0,0,0,0,0,0,0,0,2,0
"ENSG00000232993",0,0,0,0,0,0,0,0,0,0
"RPS15AP7",0,0,0,0,0,0,0,0,0,0
"GAPDHP51",0,0,0,0,0,0,0,0,2,0
"ENSG00000277397",0,0,0,0,0,0,0,0,2,2
"ENSG00000271200",0,0,0,0,0,0,0,0,2,0
"LINC02791",0,0,0,0,0,0,0,0,0,0
"CYP4A43P",0,0,0,0,0,0,0,0,0,0
"MAGOH",2426,3115,3873,4528,3239,2168,2412,2608,674,434
"DEPDC1-AS1",0,0,0,0,0,0,0,2,2,0
"ENSG00000242391",0,0,0,0,0,0,0,0,1,6
"LINC01707",2,0,5,0,9,0,0,0,0,1
"ENSG00000284808",0,0,0,0,0,2,0,0,1,0
"ENSG00000237227",0,0,0,0,0,0,0,0,0,0
"TUBB6P1",0,0,0,0,0,0,0,0,0,0
"ENSG00000116652",0,0,0,0,0,0,1,0,2,0
"CDKN2C",0,0,0,8,0,0,10,8,11,0
"ENSG00000285778",0,0,0,0,0,10,0,0,2,0
"ENSG00000233407",0,0,0,0,0,0,0,0,0,0
"ENSG00000225675",0,0,0,0,0,0,0,0,0,0
"ELOCP18",0,0,0,0,0,0,0,0,0,0
"C1orf87",0,0,2,0,2,0,0,2,1,3
"ENSG00000280317",0,0,0,0,0,0,0,0,0,10
"ZSWIM5",7,1,4,0,9,0,0,0,9,16
"OMA1",65,155,117,111,24,9,91,99,281,134
"SLC35D1",2135,3842,2357,3066,1728,2066,393,300,28,22
"ENSG00000227644",0,0,0,0,0,0,0,0,0,0
"LRP8",7,2,9,8,1,4,0,2,16,45
"TCEANC2",44,60,54,53,59,2,207,224,59,84
"KTI12",0,9,10,0,0,0,61,95,127,140
"LRRC42",312,266,404,292,345,298,130,47,64,148
"ENSG00000234204",0,0,0,0,0,0,0,0,1,0
"ENSG00000233099",0,0,0,0,0,0,0,0,0,0
"GDI2P2",12,10,20,26,6,30,9,4,4,0
"LINC01360",3,27,0,0,0,0,5,0,0,14
"ENSG00000237552",0,0,0,0,0,0,0,6,2,0
"KANK4",0,0,0,0,0,0,0,4,38,68
"ENSG00000227556",0,0,0,0,0,0,0,0,0,0
"USP1",3058,3086,3254,2067,969,2666,2502,4477,699,702
"ERI3-IT1",0,0,0,0,0,0,0,0,0,0
"ENSG00000233271",0,0,0,0,0,0,0,0,0,0
"ENSG00000285954",0,0,0,0,0,0,0,0,0,0
"ENSG00000233333",0,0,0,0,0,0,0,0,0,8
"AK5",222,360,268,272,228,380,53,58,65,30
"ENSG00000234108",0,0,0,0,0,0,0,0,0,2
"ADH5P2",0,0,2,0,3,0,2,0,2,0
"ENSG00000225167",0,0,0,0,0,0,0,0,0,6
"ENSG00000213579",0,0,0,0,0,0,0,0,0,0
"GIPC2",306,642,434,434,174,414,42,147,39,83
"ENSG00000237852",0,0,0,0,0,0,4,0,2,4
"RPE65",4,18,4,10,2,0,4,2,2,0
"ANGPTL3",0,0,0,0,0,0,0,0,4,47
"ENSG00000285407",0,0,0,0,2,0,0,0,12,12
"ENSG00000272855",0,0,0,0,0,0,0,0,0,0
"ENSG00000270549",0,0,0,0,0,0,0,0,0,0
"ENSG00000237163",0,0,0,0,0,0,3,0,0,0
"KRT8P21",0,0,0,0,0,0,0,0,4,0
"DNAJC6",66,95,114,76,127,0,16,0,98,86
"AK4",406,334,418,406,225,288,112,342,4073,3567
"LEPROT",281,384,221,362,179,165,6,70,245,291
"RPL31P12",0,0,0,0,0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,3,0,0,0,0,6
"ENSG00000233664",0,0,0,0,0,0,0,0,4,0
"CACHD1",12,26,2,0,12,0,0,13,185,139
"ENSG00000213703",0,0,0,0,0,0,1,0,0,0
"EFCAB7",639,786,951,757,394,52,108,274,44,43
"ENSG00000223479",0,0,0,0,0,0,13,0,0,0
"ENSG00000233674",0,0,0,0,0,0,0,0,0,0
"MCOLN2",78,116,106,132,92,184,4,0,0,37
"ST6GALNAC5",10,0,26,29,6,0,0,0,0,12
"ATG4C",992,1656,1219,884,425,326,87,456,218,278
"ENSG00000285041",0,0,0,0,4,0,0,0,0,0
"ENSG00000285808",0,0,0,0,4,0,0,0,0,1
"ENSG00000229440",0,0,0,0,0,0,0,0,0,0
"COX6CP13",0,0,0,0,0,0,0,0,2,0
"ENSG00000213540",0,0,0,0,0,0,0,11,0,0
"ENSG00000277670",0,0,0,0,0,0,0,0,2,1
"PDE4B-AS1",0,0,0,0,0,0,0,0,0,0
"ASB17",0,0,0,0,0,0,0,0,0,0
"ENSG00000230498",0,0,0,0,0,0,0,0,0,0
"ENSG00000285782",7,0,0,0,4,13,2,0,0,0
"ADGRL4",0,0,0,0,1,23,8,0,2,0
"ENSG00000224493",0,0,0,0,0,0,0,0,0,0
"GJA9",0,0,0,0,0,0,0,0,0,0
"ENSG00000272371",0,0,0,0,0,0,0,0,0,0
"ENSG00000287647",0,0,0,5,0,0,8,0,4,0
"ENSG00000229225",0,0,0,0,0,0,0,0,0,0
"ENSG00000230863",320,278,493,234,169,154,32,141,2,2
"ENSG00000287224",6,22,14,0,4,0,0,0,0,0
"ENSG00000225598",0,0,0,0,0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0,0,0,0,2
"LOC105378798",0,2,2,0,0,0,0,0,2,8
"ENSG00000280378",0,0,0,0,0,0,0,6,4,0
"MTF1",186,168,272,323,118,56,117,389,62,30
"ENSG00000230053",0,0,0,0,0,0,0,0,0,0
"TTLL7",0,0,0,0,0,0,29,52,10,20
"ENSG00000224326",8,0,2,0,1,0,0,0,0,0
"ENSG00000286548",0,2,2,3,7,0,0,0,1,2
"KDM4A",75,104,78,114,65,81,48,72,15,29
"ENSG00000230027",8,4,0,6,4,0,2,1,0,0
"TTLL7-IT1",0,0,0,0,0,0,11,1,2,0
"ENSG00000272094",0,0,0,0,33,0,2,11,0,0
"NEGR1-IT1",0,0,0,0,0,0,0,0,0,1
"CAPNS1P1",0,0,0,0,0,0,0,0,0,0
"LINC02777",0,0,0,0,0,0,0,0,2,1
"ENSG00000260386",0,0,0,0,0,0,0,2,6,2
"LOC128125817",0,0,0,0,0,0,0,0,0,0
"ZNHIT6",168,190,196,214,245,348,971,1865,276,299
"MGC27382",0,0,0,0,13,13,31,75,0,0
"MROH7",0,0,0,10,0,0,0,0,1,0
"LOC105378710",0,0,0,0,0,0,0,0,0,0
"ENSG00000225605",0,0,0,0,0,0,0,0,0,0
"ENSG00000225446",6,11,4,0,2,0,0,0,0,0
"ENSG00000288543",0,0,0,0,0,0,0,1,0,0
"PTGFR",0,0,0,0,2,0,7,2,1,0
"LINC02801",0,0,0,0,12,0,0,2,2,1
"EEF1GP7",0,0,0,0,72,101,89,8,0,0
"LMO4",335,237,159,183,179,144,133,244,302,215
"RPL17P6",4,10,6,4,2,6,64,96,266,130
"PRPF38A",608,1066,1158,1256,878,1260,3565,8446,1039,1481
"PIGK",284,278,263,297,261,66,196,102,539,316
"HNRNPA3P12",0,0,0,0,0,0,0,0,0,0
"ST6GALNAC3",128,218,147,128,44,126,50,8,50,11
"ENSG00000230953",0,0,0,0,0,0,0,0,14,0
"ENSG00000287743",2,0,3,0,4,0,0,0,2,0
"ENSG00000229332",0,0,0,0,3,0,0,0,0,0
"MTND2P30",0,0,0,0,0,0,0,0,0,0
"RPL7P10",4,2,0,4,2,0,10,14,6,6
"PKN2-AS1",11,7,4,0,4,0,12,0,5,4
"LOC105378810",0,0,0,0,0,2,0,0,0,0
"ENSG00000233216",0,0,0,0,0,0,0,0,0,0
"GUCA2A",0,0,0,0,0,0,0,0,2,0
"ENSG00000226804",0,0,0,0,2,0,0,34,0,0
"ENSG00000230728",0,0,0,0,0,0,0,0,6,0
"SLC25A6P3",0,0,0,0,0,0,0,0,0,0
"PSAT1P3",0,0,0,0,0,0,0,0,0,6
"DOCK7",285,185,220,441,186,325,154,444,198,356
"ENSG00000223920",0,0,0,0,0,0,0,0,0,0
"ENSG00000237453",0,0,0,0,0,0,0,0,0,0
"NEGR1",108,139,96,207,136,90,21,10,0,0
"ENSG00000285473",0,0,0,0,0,0,0,0,0,1
"ENSG00000237959",0,0,0,0,0,0,0,0,0,0
"LOC105375358",117,188,66,187,63,68,8,21,0,0
"ENSG00000234578",0,0,0,0,0,0,0,0,0,0
"FAAH",0,0,0,13,0,29,0,4,11,14
"KYAT3",41,142,69,132,32,104,24,85,287,213
"ENSG00000229505",0,0,0,0,0,0,0,0,0,0
"LOC100421400",0,0,0,0,0,0,0,0,0,0
"ENSG00000285201",2,0,0,0,4,0,42,0,0,0
"SHISAL2A",0,0,0,0,0,0,7,0,2,0
"ENSG00000236407",0,0,0,0,0,0,14,0,0,0
"ENSG00000271949",0,0,0,0,0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0,0,0,0,0
"DNTTIP2",2280,3830,2434,2820,1034,2012,3429,7628,1704,2417
"ENSG00000235011",0,0,0,0,0,0,0,0,0,0
"RPS2P13",0,0,0,0,0,0,0,0,1,0
"ENSG00000226938",0,0,0,0,0,0,0,0,0,0
"HNRNPA1P64",0,0,0,0,0,0,0,0,0,0
"ENSG00000287587",2,0,2,23,0,0,2,1,0,0
"PTPRF",38,68,62,54,52,80,10,2,192,184
"DHCR24",22,44,15,22,18,40,11,92,619,611
"ENSG00000232882",0,0,0,0,0,0,0,0,0,0
"COL24A1",0,0,0,0,0,0,40,118,2,1
"BSND",0,0,0,0,2,0,0,8,8,2
"GPX7",0,0,0,0,4,0,0,0,0,0
"SLC44A3",32,9,19,40,48,0,16,0,49,47
"ACTG1P21",0,0,0,0,0,0,0,0,4,0
"LINC01362",4,0,2,8,2,4,0,0,2,0
"PKN2",338,480,426,335,207,148,367,586,1151,547
"DAB1-AS1",0,0,0,0,0,0,1,2,0,0
"MTCO1P21",0,0,0,0,0,0,0,0,0,0
"RPS2P11",0,0,0,0,0,2,0,0,0,10
"ENSG00000237899",0,0,0,0,0,0,0,0,0,0
"LOC100418965",0,0,0,0,0,0,0,0,0,0
"LINC01364",0,0,5,0,6,4,1,46,0,0
"ENSG00000229486",0,0,0,0,0,0,0,0,0,0
"ENSG00000282898",0,0,0,0,0,0,0,0,0,0
"ENSG00000285409",11,9,4,2,4,2,0,17,2,0
